rank,score,cat,dup,source,file,path,w,h,aspect,kb,bright,contrast,sat,sharp,d_render
11,7.38,D,IN FRAGMENTS,Flyers,"One Nation Under A Groove (M1, Dead Prez, Pharao Monch).jpg","C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\One Nation Under A Groove (M1, Dead Prez, Pharao Monch).jpg",397,595,0.667,46,77.7,86.4,7780.1,32.1,
12,7.3,B,SIMILAR,Flyers,468549987_10162040438890309_2275257481473012779_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468549987_10162040438890309_2275257481473012779_n.jpg,486,720,0.675,101,90.2,77.5,6090.2,44.3,
13,7.28,D,IN FRAGMENTS,Flyers,DJ Lethal Skillz Performing in Cambodia (South East Asia).jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\DJ Lethal Skillz Performing in Cambodia (South East Asia).jpg,509,720,0.707,82,105.8,79.3,8482.2,36.2,
14,7.27,A,UNIQUE,EXTRA,597616151_10231898997593819_4634836209964069667_n (2).jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\597616151_10231898997593819_4634836209964069667_n (2).jpg,401,603,0.665,27,105.5,86.0,7444.3,12.2,
15,7.23,A,UNIQUE,Flyers,637810171_10232772044259440_6047277761230086188_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\637810171_10232772044259440_6047277761230086188_n.jpg,852,348,2.448,73,93.8,83.6,8915.5,30.1,
16,7.17,B,UNIQUE,EXTRA,648122798_10232986766107352_6572204769266954674_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\648122798_10232986766107352_6572204769266954674_n.jpg,612,612,1.0,75,71.5,66.7,5001.9,25.7,
17,7.1,B,SIMILAR,Flyers,468538795_10162040438885309_944568478199555105_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468538795_10162040438885309_944568478199555105_n.jpg,489,720,0.679,84,101.5,85.3,8184.2,32.1,
18,7.09,B,UNIQUE,Flyers,556782957_25120975390840140_2577421396250535979_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\556782957_25120975390840140_2577421396250535979_n.jpg,678,960,0.706,105,82.0,89.4,8725.1,22.7,
19,7.04,B,UNIQUE,Flyers,468909278_10162040434705309_1680878962338450467_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468909278_10162040434705309_1680878962338450467_n.jpg,514,720,0.714,94,114.2,70.4,5570.9,38.2,
20,7.02,B,UNIQUE,Flyers,468637445_10162040433450309_6598567887342780435_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468637445_10162040433450309_6598567887342780435_n.jpg,200,283,0.707,11,199.1,65.5,4135.5,33.2,
21,6.95,B,UNIQUE,Flyers,645279694_10232921304630856_234951730744631508_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\645279694_10232921304630856_234951730744631508_n.jpg,680,960,0.708,176,74.8,59.8,5849.0,36.5,
22,6.89,B,UNIQUE,EXTRA,506257964_10229824135643567_3924033273123002221_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\506257964_10229824135643567_3924033273123002221_n.jpg,425,319,1.332,26,75.4,70.9,5453.7,20.6,
23,6.86,B,UNIQUE,EXTRA,Record Shop KL.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\Record Shop KL.jpg,600,449,1.336,54,104.5,58.7,3848.7,29.0,
24,6.75,B,UNIQUE,Flyers,656842731_10233338704585594_2075786044785499221_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\656842731_10233338704585594_2075786044785499221_n.jpg,600,600,1.0,58,101.4,66.6,5272.3,20.3,
25,6.73,B,UNIQUE,Flyers,468652500_10162040434720309_8711784989802639453_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468652500_10162040434720309_8711784989802639453_n.jpg,720,480,1.5,79,48.6,66.7,5272.4,31.7,
26,6.73,C,SIMILAR,Flyers,645447142_10232946697385659_3244985692225319941_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\645447142_10232946697385659_3244985692225319941_n.jpg,612,612,1.0,61,104.9,87.5,10302.8,20.1,
27,6.72,C,SIMILAR,Flyers,468802901_10162040435835309_7249868389816125370_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\468802901_10162040435835309_7249868389816125370_n.jpg,495,720,0.688,46,62.6,93.4,9008.1,20.4,
28,6.63,B,UNIQUE,EXTRA,642943634_10232873175427656_6913214180972021057_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\EXTRA\642943634_10232873175427656_6913214180972021057_n.jpg,612,612,1.0,73,156.1,71.3,4594.3,22.5,
29,6.54,B,UNIQUE,Flyers,638546357_10232773466414993_6740838807331398674_n.jpg,C:\Users\djlet\Documents\00- Knowledge\Skillz HQ (Site)\Website Assets\Flyers\New folder\638546357_10232773466414993_6740838807331398674_n.jpg,821,1200,0.684,202,114.2,67.6,6068.1,24.7,
